[SISThread] <星期二 三月 17 11:43:36 2015> 192.168.100.106: goto 2
[Device] <星期二 三月 17 11:43:36 2015> Connect to 192.168.100.105:10001 error!
[SISThread] <星期二 三月 17 11:43:37 2015> 192.168.100.107: goto 2
[SISThread] <星期二 三月 17 11:43:38 2015> 192.168.100.107: unknow clear 2
[Device] <星期二 三月 17 11:43:39 2015> Connect to 192.168.100.105:10001 error!
[SISThread] <星期二 三月 17 11:43:39 2015> 192.168.100.105: unknow clear 1
[Device] <星期二 三月 17 11:43:42 2015> Connect to 192.168.100.105:10001 error!
[SISThread] <星期二 三月 17 11:43:42 2015> 192.168.100.105: unknow clear 1
[SISThread] <星期二 三月 17 11:43:45 2015> 192.168.100.106: reset 2
[SISThread] <星期二 三月 17 11:43:45 2015> 192.168.100.106: goto 1
[SISThread] <星期二 三月 17 11:43:45 2015> 192.168.100.106: unknow clear 1
[Device] <星期二 三月 17 11:43:45 2015> Connect to 192.168.100.105:10001 error!
[SISThread] <星期二 三月 17 11:43:45 2015> 192.168.100.105: unknow clear 1
[SISThread] <星期二 三月 17 11:43:45 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:45 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:45 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:45 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:45 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:45 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:45 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:46 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:46 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:46 2015> 192.168.100.103: reset 1
[SISThread] <星期二 三月 17 11:43:46 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:46 2015> 192.168.100.104: reset 1
[SISThread] <星期二 三月 17 11:43:46 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:46 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:46 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:46 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:46 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:46 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:46 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:47 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:47 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:47 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:47 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:47 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:47 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:47 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:47 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:47 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:47 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:47 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:48 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:48 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:48 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:48 2015> 192.168.100.106: unknow clear 1
[Device] <星期二 三月 17 11:43:48 2015> Connect to 192.168.100.105:10001 error!
[SISThread] <星期二 三月 17 11:43:48 2015> 192.168.100.105: unknow clear 1
